Packet Loss,Loss Percentage(%),Time Delta Mean(s),Total Time(s),Total Bytes(B),Throughput(Kbps)
0,0.0%,0.04168123245239258,4.168123245239258,8400,16.122363962427077
0,0.0%,0.0408377742767334,4.08377742767334,8400,16.45535320916988
0,0.0%,0.041448602676391604,4.14486026763916,8400,16.212850533143772
0,0.0%,0.041187987327575684,4.118798732757568,8400,16.31543669894476
0,0.0%,0.04164321899414063,4.1643218994140625,8400,16.137081047806443
0,0.0%,0.04168130397796631,4.168130397796631,8400,16.122336296274096
0,0.0%,0.04183225870132446,4.183225870132446,8400,16.064157682662344
0,0.0%,0.041372094154357913,4.137209415435791,8400,16.242832608201805
0,0.0%,0.04188067436218262,4.188067436218262,8400,16.04558690217276
0,0.0%,0.042031474113464355,4.2031474113464355,8400,15.98801884002283
0,0.0%,0.041677343845367434,4.167734384536743,8400,16.123868221863543
0,0.0%,0.04168258428573608,4.168258428573608,8400,16.12184108819665
0,0.0%,0.04164619207382202,4.164619207382202,8400,16.135929037853284
0,0.0%,0.04192527532577515,4.192527532577515,8400,16.028517279333467
0,0.0%,0.04171635150909424,4.171635150909424,8400,16.10879129382882
0,0.0%,0.041324665546417234,4.132466554641724,8400,16.261474620894084
0,0.0%,0.041877884864807126,4.187788486480713,8400,16.046655703109014
0,0.0%,0.04162126541137695,4.162126541137695,8400,16.14559272424986
0,0.0%,0.04140554189682007,4.140554189682007,8400,16.229711512400456
0,0.0%,0.041439344882965086,4.143934488296509,8400,16.216472579329945
0,0.0%,0.04153122901916504,4.153122901916504,8400,16.180595081592656
0,0.0%,0.041828958988189696,4.18289589881897,8400,16.06542491745342
0,0.0%,0.04172291278839111,4.172291278839111,8400,16.106258050779612
0,0.0%,0.041350297927856446,4.1350297927856445,8400,16.25139439557203
0,0.0%,0.04225668430328369,4.225668430328369,8400,15.902809486351018
0,0.0%,0.04158379077911377,4.158379077911377,8400,16.1601428683968
0,0.0%,0.04374408721923828,4.374408721923828,8400,15.362076173450479
0,0.0%,0.04370704889297485,4.370704889297485,8400,15.375094338799258
0,0.0%,0.04202236175537109,4.202236175537109,8400,15.991485769219247
0,0.0%,0.04210918426513672,4.210918426513672,8400,15.958513842700253
0,0.0%,0.041623027324676515,4.162302732467651,8400,16.144909277216364
0,0.0%,0.041721744537353514,4.172174453735352,8400,16.10670904229227
0,0.0%,0.041558682918548584,4.155868291854858,8400,16.169906089590516
0,0.0%,0.041030733585357665,4.103073358535767,8400,16.377966984236707
0,0.0%,0.041195888519287106,4.119588851928711,8400,16.31230746935784
0,0.0%,0.04166376113891602,4.166376113891602,8400,16.129124726867705
0,0.0%,0.04162369966506958,4.162369966506958,8400,16.14464849130024
0,0.0%,0.04150821447372437,4.1508214473724365,8400,16.189566535688765
0,0.0%,0.04184181690216064,4.1841816902160645,8400,16.06048804169637
0,0.0%,0.04161925792694092,4.161925792694092,8400,16.146371498973842
0,0.0%,0.04162179946899414,4.162179946899414,8400,16.14538555692676
0,0.0%,0.041783499717712405,4.17834997177124,8400,16.08290364713354
0,0.0%,0.04181615829467773,4.181615829467773,8400,16.070342838871706
0,0.0%,0.04162525177001953,4.162525177001953,8400,16.14404649641077
0,0.0%,0.04197715044021606,4.1977150440216064,8400,16.008709332403676
0,0.0%,0.04152146816253662,4.152146816253662,8400,16.184398811945726
0,0.0%,0.04161053657531738,4.161053657531738,8400,16.14975569429735
0,0.0%,0.04201459884643555,4.201459884643555,8400,15.994440467138043
0,0.0%,0.041761131286621095,4.176113128662109,8400,16.0915181005953
0,0.0%,0.04183563232421875,4.183563232421875,8400,16.062862269945363
0,0.0%,0.0420225191116333,4.20225191116333,8400,15.991425887982212
0,0.0%,0.041494441032409665,4.149444103240967,8400,16.19494041322613
0,0.0%,0.041952941417694095,4.195294141769409,8400,16.017947187764456
0,0.0%,0.04180814504623413,4.180814504623413,8400,16.07342299585067
0,0.0%,0.041647181510925294,4.164718151092529,8400,16.13554568689635
0,0.0%,0.04144352912902832,4.144352912902832,8400,16.214835322248426
0,0.0%,0.04149094343185425,4.149094343185425,8400,16.196305613144457
0,0.0%,0.04168785810470581,4.168785810470581,8400,16.119801557378246
0,0.0%,0.0421278715133667,4.21278715133667,8400,15.951434901874451
0,0.0%,0.04286370277404785,4.286370277404785,8400,15.677600312375892
0,0.0%,0.042169888019561765,4.216988801956177,8400,15.935541486101947
0,0.0%,0.041723747253417966,4.172374725341797,8400,16.105935929447238
0,0.0%,0.04136775016784668,4.136775016784668,8400,16.244538251981513
0,0.0%,0.041942200660705566,4.194220066070557,8400,16.02204913939047
0,0.0%,0.04147663116455078,4.147663116455078,8400,16.201894443499175
0,0.0%,0.041717679500579835,4.171767950057983,8400,16.10827850553528
0,0.0%,0.04179672479629517,4.179672479629517,8400,16.077814787525305
0,0.0%,0.04174969434738159,4.174969434738159,8400,16.095926221844202
0,0.0%,0.041051862239837644,4.105186223983765,8400,16.369537539465778
0,0.0%,0.04158590793609619,4.158590793609619,8400,16.15932014836954
0,0.0%,0.04159489870071411,4.159489870071411,8400,16.155827300727697
0,0.0%,0.041410925388336184,4.141092538833618,8400,16.227601621993113
